,Time,Miliseconds,Battery,Light,Temperature,Humidity,Noise dBA,Barometric pressure,VOC Gas CCS811,eCO2 Gas CCS811,PM 1.0,PM 2.5,PM 10.0
133,0,743,6,505,24.05,38.86,50.43,100.92,none,none,none,none,none
134,0,745,7,505,24.07,38.83,47.87,100.93,none,none,none,none,none
135,0,744,7,505,24.04,38.81,50.72,100.92,none,none,none,none,none
136,0,745,7,505,24.05,38.81,47.71,100.92,none,none,none,none,none
137,0,745,6,505,24.04,38.76,49.11,100.92,none,none,none,none,none
138,0,744,7,505,24.07,38.8,47.3,100.92,none,none,none,none,none
139,0,745,7,505,24.04,38.75,50.17,100.92,none,none,2,2,2
140,0,1379,6,505,24.04,38.8,50.08,100.92,none,none,2,2,2
141,0,745,6,505,24.05,38.76,49.33,100.92,none,none,2,2,2
142,0,744,7,505,24.05,38.81,50.03,100.92,none,none,2,2,2
143,0,745,6,505,24.05,38.76,48.15,100.92,none,none,2,2,2
144,0,743,6,505,24.03,38.78,49.14,100.92,none,none,2,2,2
145,0,743,6,505,24.05,38.87,48.34,100.92,none,none,2,2,2
146,0,744,7,507,24.05,38.85,49.72,100.92,none,none,2,2,2
147,0,744,6,507,24.04,38.85,48.88,100.92,none,none,2,2,2
148,0,745,6,507,24.05,38.81,48.94,100.92,none,none,2,2,2
149,0,745,6,506,24.05,38.76,48.29,100.92,none,none,2,2,2
150,0,744,7,506,24.05,38.77,49.36,100.93,none,none,2,2,2
151,0,744,6,506,24.03,38.8,48.6,100.93,none,none,2,2,2
152,0,744,6,506,24.05,38.76,48.88,100.93,none,none,2,2,2
153,0,744,6,506,24.03,38.78,48.42,100.92,none,none,2,2,2
154,0,745,6,507,24.05,38.78,49.62,100.92,none,none,2,2,2
155,0,743,6,506,24.03,38.74,48.07,100.93,none,none,2,2,2
156,0,744,6,505,24.05,38.71,47.02,100.92,none,none,2,2,2
157,0,744,6,506,24.03,38.77,49.91,100.92,none,none,2,2,2
158,0,745,7,505,24.05,38.72,48.73,100.93,none,none,2,2,2
159,0,744,6,507,24.01,38.69,49.61,100.92,none,none,2,2,2
160,0,743,7,507,24.07,38.71,47.08,100.93,none,none,none,none,none
161,0,3206,6,506,24.01,38.7,50.23,100.92,none,none,none,none,none
162,0,744,7,505,24.04,38.68,47.82,100.93,none,none,none,none,none
163,0,744,7,506,24.03,38.68,50.51,100.93,none,none,none,none,none
164,0,746,7,506,24.04,38.65,48.25,100.92,none,none,none,none,none
165,0,743,6,506,24.0,38.69,49.98,100.93,none,none,none,none,none
166,0,745,7,506,24.03,38.74,48.41,100.92,none,none,none,none,none
167,0,744,6,503,24.03,38.74,49.47,100.93,none,none,none,none,none
168,0,745,6,506,24.03,38.74,47.49,100.93,none,none,none,none,none
169,0,745,6,506,24.04,38.76,50.14,100.93,none,none,none,none,none
170,0,744,7,507,24.01,38.77,48.0,100.93,none,none,none,none,none
171,0,745,6,507,24.01,38.76,49.52,100.93,none,none,none,none,none
172,0,745,7,505,24.01,38.76,48.4,100.93,none,none,none,none,none
173,0,744,7,506,24.04,38.8,48.69,100.93,none,none,none,none,none
174,0,745,7,506,23.98,38.8,48.34,100.93,none,none,none,none,none
175,0,745,7,506,24.01,38.83,50.11,100.93,none,none,none,none,none
176,0,744,7,507,23.98,38.93,49.49,100.93,none,none,none,none,none
177,0,745,6,507,24.01,39.07,49.17,100.93,none,none,none,none,none
178,0,743,7,507,23.98,39.18,49.17,100.93,none,none,none,none,none
179,0,744,7,505,24.01,39.19,48.55,100.93,none,none,none,none,none
180,0,743,7,507,23.98,39.21,49.65,100.93,none,none,3,4,4
181,0,1378,7,505,23.97,39.39,47.95,100.92,none,none,3,4,4
182,0,744,7,506,24.0,39.51,49.46,100.93,none,none,3,4,4
183,0,745,7,507,23.98,39.58,47.28,100.93,none,none,3,4,4
184,0,744,7,506,23.98,39.6,49.62,100.92,none,none,3,4,4
185,0,744,7,506,23.98,39.58,47.23,100.93,none,none,3,4,4
186,0,744,7,501,23.98,39.52,50.53,100.93,none,none,3,4,4
187,0,744,7,503,23.98,39.51,48.97,100.93,none,none,3,4,4
188,0,745,7,506,23.97,39.42,50.48,100.93,none,none,3,4,4
189,0,743,7,505,23.98,39.38,47.89,100.93,none,none,3,4,4
190,0,744,7,505,23.97,39.46,48.57,100.93,none,none,3,4,4
191,0,745,7,505,23.94,39.65,49.84,100.93,none,none,3,4,4
192,0,745,7,500,23.97,39.88,47.96,100.93,none,none,3,4,4
193,0,744,7,477,24.0,40.06,49.92,100.93,none,none,3,4,4
194,0,744,7,306,23.97,40.15,47.99,100.93,none,none,3,4,4
195,0,744,7,285,23.97,40.17,49.53,100.93,none,none,3,4,4
196,0,743,7,300,23.96,40.22,47.7,100.93,none,none,3,4,4
197,0,745,7,303,23.94,40.21,48.49,100.93,none,none,3,4,4
198,0,744,7,308,23.97,40.26,51.13,100.93,none,none,3,4,4
199,0,744,7,353,24.0,40.2,47.3,100.92,none,none,3,4,4
200,0,744,7,385,23.98,40.19,49.12,100.92,none,none,none,none,none
201,0,3203,7,487,23.98,40.02,49.2,100.92,none,none,none,none,none
202,0,745,7,505,24.0,39.88,50.65,100.92,none,none,none,none,none
203,0,744,6,497,23.98,39.76,47.72,100.92,none,none,none,none,none
204,0,745,6,500,24.0,39.82,49.68,100.93,none,none,none,none,none
205,0,744,6,505,24.0,39.79,47.87,100.93,none,none,none,none,none
206,0,744,7,507,24.0,39.72,50.08,100.93,none,none,none,none,none
207,0,745,7,503,24.01,39.65,47.76,100.93,none,none,none,none,none
208,0,745,7,503,24.0,39.77,50.27,100.92,none,none,none,none,none
